,Name,Years active,Proven Victims,Possible Victims,Region where active,Notes,Ref
33,Gold Sock Killer,1973,3,3,FL,Strangled a woman and two teenage girls to death with socks,[825]
34,Golden Years Murders,1990–1996,13,13+,VA,"Murders of elderly women in Richmond, Virginia; murderer Leslie Burchart was convicted for some of the killings, but his guilt is disputed",[826]
35,Great Basin Killer,1983–1997,4,4+,"WY, UT, NV, ID","Allegedly responsible for the ""Great Basin Murders"", in which young girls and women were raped and killed across the Great Basin area; initially consisting of nine supposed murders, those have since been solved and attributed to different perpetrators",[827]
36,Gypsy Hill killings,1976,5,5+,CA,"Known as the ""San Mateo slasher""; five unsolved killings, of young women in San Mateo County, California, during early 1976; in 2014, the FBI named Rodney Halbower as a person of interest in the Gypsy Hill killings; as of 2018[update], he has been convicted in two of the murders",[828][829]
37,Hog Trail Murders,1993–1996,6,12,FL,"Mutilated bodies of young men found in Charlotte County, Florida; thought to be linked to Daniel Conahan, who was charged and convicted of one of the murders",[830]
38,Harbor City serial shootings,1993,3,3,CA,"Shot four black men from his Jeep, three of them fatally",[831]
39,Honolulu Strangler,1985–1986,5,5,HI,Raped and strangled five young women in Hawaii in 1985 and 1986,[832][833]
40,I-45 Killer,1980,0,4+,TX,Strangled four known victims in 1980 and sexually assaulted some. Two of the four women have never been identified.,[834]
41,I-70 killer,1992–2001,6,9,"IN,  MO, KSTX (suspected)",Killed and robbed six store clerks around the Midwestern United States,[835]
42,I-70 Strangler,1980–1991,12,12,"IN, OH",Killed gay men and dumped their bodies near I-70; suspected serial killer Herb Baumeister is considered the prime suspect in the case,[836]
43,Jeff Davis 8,2005–2009,8,8,LA,"The bodies of eight women were found in swamps and canals surrounding Jennings, Louisiana. Originally thought to be a serial killer, but multiple suspects may be involved",[837][838]
44,Kauai serial killer,2000,2,2,HI,"Kidnapped, raped, beat, and stabbed women to death on the Kauai island of Hawaii.",[839]
45,Little Rock serial stabbings,2020–2021,3,3,AR,"Random stabbing murders against strangers that occurred in Little Rock, Arkansas",[840]
46,Gilgo Beach serial killings,1996–2010,10,17,NY,"Suspected of killing eight women, a man and a child since 1996 and dumping their bodies along remote beaches in Suffolk and Nassau County, New York. The killer has been referred to as the Gilgo Beach killer because of the location where the first bodies were found. In July of 2023, Rex Heuerman was arrested and has been charged with four of the murders.",[841][842][843][844]
47,Main South Woodsman,2002–2004,3,5,MA,"Murdered prostitutes picked up from Worcester's Main South neighborhood, dumping the bodies in various towns across the state and neighboring Maine. Convicted murderer Alex Scesny is considered the prime suspect, but has never been charged.",[845]
48,The Man from the Train,1900–1912,0,40+,USA,"Probably Paul Mueller. Killed whole families in their sleep, from the east coast to the west, arriving and departing by train. Existence (and probable but not proven identity) discovered over 100 years after the murders, by analysis of contemporary records, showing a markedly common modus operandi for many previously unconnected crimes.",[846][847][848][849]
49,2011 Memphis serial murders,2011,3,4,TN,"Murders of three sex workers in Memphis, Tennessee, in the winter of 2011; possibly linked to a fourth murder committed in 2015",[850]
50,Miami Strangler,1964–1970,9,11,FL,"Murdered at least nine women in Miami, Florida, between 1964 and 1970",[851]
51,Michigan Murders,1967–1969,1,7,MI,"Raped, stabbed, and strangled young women between the ages of 13 and 21 in the Washtenaw County area of Michigan. John Norman Collins was convicted of the last murder in the series and strongly suspected to be responsible for all seven murders attributed to the same perpetrator.",[852]
52,New Bedford Highway Killer,1988–1989,9,11,MA,Murders of nine women and disappearance of two others between 1988 and 1989,[853]
53,Oakland County Child Killer,1976–1977,4,4+,MI,"Also known as the ""Babysitter""; responsible for the murders of four or more children in Oakland County, Michigan in 1976 and 1977",[854]
54,Oklahoma City Butcher,1976–1986,3,3,OK,Killed and mutilated 3 women in Oklahoma City between 1976 and 1986,[855]
55,Phantom Killer,1946,5,5,TX,"Believed to have committed the Texarkana Moonlight Murders in Texas between February 23 and May 4, 1946",[856]
56,Pittsburg serial murders,1998–1999,5,5,CA,"Single or multiple offenders who murdered one man and four women over three months in the city of Pittsburg, California",[857]
57,1996 Raleigh murders,1996,6,6,NC,"Series of murders and rapes across the Raleigh, North Carolina area; multiple killers are suspected, including one who was convicted of two murders",[858][859][860]
58,Redhead murders,1978–1992,8,11,"TN, AR, KY, MS, PA, WV","Series of unsolved homicides believed to have been committed by an unidentified serial killer in Tennessee, Arkansas, Kentucky, Mississippi, Pennsylvania and West Virginia, also known as ""The Bible Belt Strangler""",[861][862]
59,San Diego serial murders,1985–1990,43,43+,CA,"Murders of women, predominantly prostitutes and drug addicts, across San Diego County. Initially believed to be a single serial killer, but later determined to be multiple killers.",[863]
60,Santa Rosa hitchhiker murders,1972–1973,7,7+,CA,A series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973,[864]
61,Servant Girl Annihilator,1884–1885,8,8,TX,"Also known as the ""Austin Axe Murderer""; responsible for at least seven murders in Austin, Texas between 1884 and 1885",[865]
62,Skid Row Stabber,1978–1979,11,11,CA,"Murdered homeless men in Los Angeles' Skid Row neighborhood; Bobby Joe Maxwell was falsely convicted of two of the murders and accused of the rest, and died while in a coma prior to being exonerated",[866]
63,South Florida serial murders,1997–2001,3,10+,FL,"Murdered women, most of whom were homeless or prostitutes, primarily by strangling, four of the ten murders have been solved",[867]
64,Smiley face murder theory,1990s–2000s,0,40+,USA,Theoretical serial killer(s) thought by some sources to have drowned college-aged young men across the northern part of the country since 1997; most experts suggest that the deaths were accidental,[868]
65,Storyville Slayer,1991–1996,24,24+,LA,"Abducted, strangled and drowned predominantly female prostitutes around New Orleans; thought to be multiple killers",[869]
66,Stockton serial shootings,2021–2022,6,7+,CA,"Shot one man to death in Oakland and five in Stockton and shot a woman in Stockton who survived her injuries.  Wesley Brownlee was arrested for the murders on October 15, 2022.",[870][871][872]
67,Suitland murders,1986–1987,5,9,"MD, DC","Abducted, raped and stabbed to death women around Suitland, Maryland; convicted murderer Alton Alonso Best is considered the prime suspect",[873]
68,Texas Killing Fields,1970s–2000s,4,30+,TX,"Since the early 1970s, roughly 30 bodies have been extracted from the fields, mainly consisting of young girls. As of August 2022, four of the cases have been definitively solved, and authorities now believe that multiple offenders are involved.",
69,Tube Sock Killings,1985,4,6,WA,Unsolved murders which occurred in the remote community of Mineral in Washington,[874]
70,West Mesa murders,2003–2009,11,11+,NM,"Remains of 11 women, who disappeared between 2003 and 2005, found buried in desert in Albuquerque, New Mexico, in 2009 and attributed to a bone collector",[875]
71,Zodiac Killer,1968–1974,5,37,CANV (possible),Targeted young couples. Remains unsolved but open in the California jurisdictions the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.,[876]
